Images,Disc Area,Cup Area,Rim Area,Cup Height,Cup Width,Disc Height,Disc Width,ACDR,VCDR,HCDR,Glaucoma Decision
17521.jpg,113648,44815,68833,234,239,400,365,0.394,0.585,0.655,NORMAL
18499.jpg,144479,50264,94215,262,244,444,426,0.348,0.59,0.573,NORMAL
35977.jpg,111283,31002,80281,205,203,381,372,0.279,0.538,0.546,NORMAL
37749.jpg,148909,57685,91224,264,274,460,414,0.387,0.574,0.662,NORMAL
39636.jpg,157774,43676,114098,233,240,444,454,0.277,0.525,0.529,NORMAL
46109.jpg,146297,47064,99233,263,232,477,390,0.322,0.551,0.595,NORMAL
51763.jpg,142505,50943,91562,261,255,449,401,0.357,0.581,0.636,NORMAL
64744.jpg,113906,36475,77431,201,234,371,389,0.32,0.542,0.602,NORMAL
66557.jpg,169145,46449,122696,240,247,481,453,0.275,0.499,0.545,NORMAL
67239.jpg,129428,51332,78096,262,248,422,388,0.397,0.621,0.639,GLAUCOMA  SUSUPECT
69707.jpg,143681,64772,78909,324,264,447,413,0.451,0.725,0.639,GLAUCOMA  SUSUPECT
70718.jpg,143672,51556,92116,262,256,445,423,0.359,0.589,0.605,NORMAL
81590.jpg,132095,38747,93348,232,213,452,370,0.293,0.513,0.576,NORMAL
82021.jpg,149183,60224,88959,276,280,438,432,0.404,0.63,0.648,GLAUCOMA  SUSUPECT
IMG_2431.JPG,151831,34660,117171,206,219,459,418,0.228,0.449,0.524,NORMAL
IMG_2432.JPG,148463,58102,90361,262,280,460,410,0.391,0.57,0.683,NORMAL
IMG_2433.JPG,138147,55681,82466,251,270,438,404,0.403,0.573,0.668,GLAUCOMA  SUSUPECT
IMG_2434.JPG,142175,54475,87700,271,262,461,386,0.383,0.588,0.679,NORMAL
IMG_2438.JPG,153419,31915,121504,206,204,486,410,0.208,0.424,0.498,NORMAL
IMG_2439.JPG,131305,40030,91275,236,224,409,398,0.305,0.577,0.563,NORMAL
IMG_2440.JPG,133022,45427,87595,238,226,424,396,0.341,0.561,0.571,NORMAL
IMG_2443.JPG,162369,50093,112276,266,240,470,438,0.309,0.566,0.548,NORMAL
IMG_2444.JPG,148657,50515,98142,248,254,449,427,0.34,0.552,0.595,NORMAL
IMG_2445.JPG,136302,45939,90363,277,220,417,413,0.337,0.664,0.533,GLAUCOMA  SUSUPECT
IMG_2446.JPG,140605,41532,99073,214,244,428,419,0.295,0.5,0.582,NORMAL
IMG_2447.JPG,140556,52090,88466,236,271,408,434,0.371,0.578,0.624,NORMAL
IMG_2448.JPG,127663,40783,86880,207,256,403,404,0.319,0.514,0.634,NORMAL
IMG_2449.JPG,160307,73001,87306,282,336,462,444,0.455,0.61,0.757,GLAUCOMA  SUSUPECT
IMG_2450.JPG,137472,57481,79991,254,290,435,400,0.418,0.584,0.725,GLAUCOMA  SUSUPECT
IMG_2451.JPG,133551,39225,94326,234,217,446,377,0.294,0.525,0.576,NORMAL
IMG_2452.JPG,146760,49746,97014,257,241,458,399,0.339,0.561,0.604,NORMAL
IMG_2453.JPG,185520,64626,120894,278,302,496,482,0.348,0.56,0.627,NORMAL
IMG_2454.JPG,191206,62601,128605,277,288,523,451,0.327,0.53,0.639,NORMAL
IMG_2456.JPG,124327,31774,92553,218,196,458,349,0.256,0.476,0.562,NORMAL
IMG_2457.JPG,163777,40038,123739,224,222,469,437,0.244,0.478,0.508,NORMAL
IMG_2458.JPG,162282,58410,103872,264,285,456,456,0.36,0.579,0.625,NORMAL
IMG_2459.JPG,133934,57476,76458,280,254,441,388,0.429,0.635,0.655,GLAUCOMA  SUSUPECT
IMG_2460.JPG,150487,70591,79896,305,290,460,412,0.469,0.663,0.704,GLAUCOMA  SUSUPECT
IMG_2463.JPG,172869,76808,96061,316,296,509,431,0.444,0.621,0.687,GLAUCOMA  SUSUPECT
IMG_2464.JPG,167397,66562,100835,296,286,491,436,0.398,0.603,0.656,GLAUCOMA  SUSUPECT
IMG_2465.JPG,131512,43867,87645,218,251,409,413,0.334,0.533,0.608,NORMAL
IMG_2466.JPG,127782,45398,82384,236,250,415,398,0.355,0.569,0.628,NORMAL
IMG_2467.JPG,176094,66971,109123,310,264,524,415,0.38,0.592,0.636,NORMAL
IMG_2468.JPG,170228,65503,104725,309,277,518,425,0.385,0.597,0.652,NORMAL
IMG_2469.JPG,152817,50563,102254,255,251,445,430,0.331,0.573,0.584,NORMAL
IMG_2470.JPG,162378,58313,104065,253,280,452,446,0.359,0.56,0.628,NORMAL
IMG_2471.JPG,131498,40612,90886,236,215,437,382,0.309,0.54,0.563,NORMAL
IMG_2472.JPG,123632,43706,79926,233,233,418,372,0.354,0.557,0.626,NORMAL
IMG_2475.JPG,147084,42914,104170,224,239,460,409,0.292,0.487,0.584,NORMAL
IMG_2476.JPG,154122,52979,101143,268,255,468,422,0.344,0.573,0.604,NORMAL
IMG_2477.JPG,142254,44125,98129,236,241,456,398,0.31,0.518,0.606,NORMAL
IMG_2478.JPG,133581,51317,82264,254,258,430,406,0.384,0.591,0.635,NORMAL
IMG_2479.JPG,119304,42445,76859,241,215,402,381,0.356,0.6,0.564,NORMAL
IMG_2480.JPG,134758,61887,72871,273,281,408,416,0.459,0.669,0.675,GLAUCOMA  SUSUPECT
IMG_2481.JPG,134726,47333,87393,229,262,420,413,0.351,0.545,0.634,NORMAL
IMG_2482.JPG,124046,41800,82246,216,231,413,381,0.337,0.523,0.606,NORMAL
IMG_2483.JPG,117241,30554,86687,206,190,380,374,0.261,0.542,0.508,NORMAL
IMG_2484.JPG,173864,44932,128932,237,245,487,454,0.258,0.487,0.54,NORMAL
IMG_2485.JPG,144572,44129,100443,240,237,437,410,0.305,0.549,0.578,NORMAL
IMG_2486.JPG,113441,38147,75294,216,225,398,356,0.336,0.543,0.632,NORMAL
IMG_2487.JPG,108439,28478,79961,192,186,395,346,0.263,0.486,0.538,NORMAL
IMG_2488.JPG,138826,33571,105255,189,218,408,432,0.242,0.463,0.505,NORMAL
IMG_2489.JPG,143661,35444,108217,196,241,433,425,0.247,0.453,0.567,NORMAL
